microherbivore_species;n;organ;role;phase
Campiglossa producta;20;X;G;NA
Campiglossa punctella;1;X;B;NA
Campiglossa reticulata;1;U;U;NA
Campiglossa solidaginis;1;X;B;NA
Campiglossa valida;2;X;H;NA
Camponotidea fieberi;3;L;V;NA
Camponotidea saundersi;5;L;V;NA
Camptogramma bilineata;18;L;V;NA
Camptopus lateralis;21;L;V;NA
Camptopus tragacanthae;3;L;V;NA
Camptotelus lineolatus;1;C;V;NA
Camptotylus linae;1;L;V;NA
Camptotylus reuteri;1;L;V;NA
Camptotylus yersini;2;L;V;NA
Camptozygum aequale;4;L;V;NA
Camptozygum pumilio;1;L;V;NA
Campylomma annulicorne;7;L;V;NA
Campylomma celatum;2;L;V;NA
Campylomma diversicornis;7;L;V;NA
Campylomma lindbergi;3;L;V;NA
Campylomma miyamotoi;1;L;V;NA
Campylomma ochraceum;2;L;V;NA
Campylomma oertzeni;1;L;V;NA
Campylomma ribesi;1;L;V;NA
Campylomma simillimum;1;L;V;NA
Campylomma vendicarinum;1;L;V;NA
Campylomma verbasci;13;NA;Pre;NA
Campylomma viticis;1;L;V;NA
Campyloneura virgula;26;NA;Pre;NA
Canariocoris euphorbiae;1;L;V;NA
Canariocoris pinicola;2;L;V;NA
Canariocoris viburni;1;L;V;NA
Candidatus Phytoplasma rubi;2;sys;G;NA
Cantacader quadricornis;1;L;V;NA
Canthophorus dubius;9;L;V;NA
Canthophorus fuscipennis;1;L;V;NA
Canthophorus impressus;5;L;V;NA
Canthophorus maculipes;1;L;V;NA
Canthophorus melanopterus;13;R;V;NA
Capitites augur;3;X;G;NA
Capitites ramulosa;1;U;U;NA
Capitophorus carduinus;7;L;V;NA
Capitophorus elaeagni;17;L;V;summer
Capitophorus gynoxanthus;2;L;V;NA
Capitophorus hippophaes;8;L;G;spring
Capitophorus horni;8;L;G;NA
Capitophorus inulae;6;L;V;NA
Capitophorus pakansus;6;L;V;summer
Capitophorus similis;10;L;V;summer
Capnodis carbonaria;3;S;B;NA
Capnodis cariosa;7;S;B;NA
Capnodis porosa;3;S;B;NA
Capnodis tenebricosa;2;R;B;NA
Capnodis tenebrionis;19;C;B;NA
Capparimyia savastani;2;X;G;NA
Capperia britanniodactylus;3;L;V;NA
Capperia celeusi;2;X;V;NA
Capperia fusca;4;L;V;spring
Capperia hellenica;5;U;U;NA
Capperia loranus;1;X;V;NA
Capperia maratonica;1;U;U;NA
Capperia polonica;1;U;U;NA
Capperia trichodactyla;1;L;V;spring
Capricornia boisduvaliana;1;L;H;NA
Caprithrips melanophthalmus;1;X;H;NA
Capsodes bicolor;1;L;V;NA
Capsodes flavomarginatus;10;L;V;NA
Capsodes gothicus;6;L;V;NA
Capsodes mat;4;L;V;NA
Capsodes sulcatus;10;L;V;NA
Capsus ater;16;C;V;NA
Capsus pilifer;2;L;V;NA
Capsus wagneri;3;L;V;NA
Capua vulgana;9;L;H;NA
Caradrina casearia;2;L;V;NA
Caradrina clavipalpis;8;L;V;NA
Caradrina gilva;7;L;V;NA
Caradrina kadenii;3;L;V;NA
Caradrina morpheus;24;L;V;NA
Caradrina rebeli;2;L;V;NA
Caradrina selini;5;L;V;NA
Caradrina vicina;2;L;V;NA
Carcharodus alceae;13;L;H;NA
Carcharodus baeticus;4;L;H;NA
Carcharodus floccifera;5;L;H;NA
Carcharodus lavatherae;1;L;H;NA
Carcharodus orientalis;8;L;H;NA
Carcharodus stauderi;1;L;H;NA
Carcharodus tripolina;3;L;H;NA
Carcina quercana;26;L;H;NA
Cardepia affinis;2;L;V;NA
Cardepia hartigi;6;L;V;NA
Cardepia sociabilis;4;L;V;NA
Cardiastethus fasciiventris;22;NA;Pre;NA
Cardiastethus nazarenus;7;NA;Pre;NA
Cardoria scutellata;1;S;B;NA
Carenoplistus acutus;2;L;V;NA
Careopalpis akko;1;L;G;NA
Careopalpis harenosa;2;S;G;NA
Careopalpis suaedae;2;L;G;NA
Careopalpis suaedicola;1;L;I;NA
Carexomyza caricis;1;S;B;NA
Caricosipha paniculatae;25;L;V;NA
Carinatodorcadion aethiops;2;R;V;NA
Carpatolechia aenigma;2;L;H;NA
Carpatolechia alburnella;1;L;H;NA
Carpatolechia decorella;13;L;H;NA
Carpatolechia epomidella;1;L;H;NA
Carpatolechia fugacella;2;L;H;NA
Carpatolechia fugitivella;4;L;H;NA
Carpatolechia notatella;9;L;H;NA
Carpatolechia proximella;5;L;H;NA
Carphoborus bonnairei;1;S;B;NA
Carphoborus henscheli;8;S;B;NA
Carphoborus marani;1;S;B;NA
Carphoborus minimus;9;S;B;NA
Carphoborus perrisi;8;S;B;NA
Carphoborus pini;5;S;B;NA
Carphoborus teplouchovi;4;S;B;NA
Carpocoris coreanus;10;L;V;NA
Carpocoris fuscispinus;14;L;V;NA
Carpocoris mediterraneus;23;L;V;NA
Carpocoris melanocerus;8;L;V;NA
Carpocoris pudicus;14;L;V;NA
Carpocoris purpureipennis;30;L;V;NA
Carpomya incompleta;3;F;B;NA
Carpomya liat;1;F;B;NA
Carpomya pardalina;1;F;B;NA
Carpomya schineri;10;F;B;NA
Carpomya vesuviana;3;F;B;NA
Carpomya wiedemanni;4;F;G;NA
Carposina berberidella;1;F;B;NA
Carposina gigantella;1;U;U;NA
Carposina scirrhosella;1;F;B;NA
Carposina sublucida;1;U;U;NA
Carsia sororiata;1;L;V;NA
Carterocephalus palaemon;21;L;H;NA
Carterus dama;2;F;V;NA
Carterus fulvipes;4;F;V;NA
Carulaspis atlantica;4;L;SC;NA
Carulaspis juniperi;27;L;SC;NA
Carulaspis minima;25;L;SC;NA
Carulaspis silvestrii;1;U;SC;NA
Carulaspis visci;1;L;SC;NA
Caryedon acaciae;2;F;B;NA
Caryedon akdamaricus;1;F;B;NA
Caryedon germari;1;F;B;NA
Caryedon pallidus;2;F;B;NA
Caryedon serratus;3;F;B;NA
Caryocolum albifaciella;2;L;H;NA
Caryocolum alsinella;8;L;M;NA
Caryocolum amaurella;1;S;G;NA
Caryocolum blandella;1;L;M;NA
Caryocolum blandelloides;3;F;B;NA
Caryocolum blandulella;3;F;B;NA
Caryocolum cassella;3;L;H;NA
Caryocolum cauligenella;9;S;G;NA
Caryocolum crypticum;2;U;U;NA
Caryocolum delphinatella;2;U;U;NA
Caryocolum fibigerium;1;L;M;NA
Caryocolum fischerella;2;L;H;NA
Caryocolum fraternella;6;S;G;NA
Caryocolum gallagenellum;1;L;G;NA
Caryocolum huebneri;1;L;H;NA
Caryocolum inflativorella;1;S;G;NA
Caryocolum interalbicella;1;L;H;NA
Caryocolum jaspidella;1;L;M;NA
Caryocolum junctella;4;L;M;NA
Caryocolum klosi;1;L;H;NA
Caryocolum kroesmanniella;4;L;M;NA
Caryocolum laceratella;3;L;H;NA
Caryocolum leucomelanella;5;S;G;NA
Caryocolum leucothoracellum;1;L;H;NA
Caryocolum marmorea;4;L;M;NA
Caryocolum moehringiae;2;L;M;NA
Caryocolum mucronatella;4;L;H;NA
Caryocolum oculatella;1;L;H;NA
Caryocolum peregrinella;2;L;H;NA
Caryocolum petrophila;2;L;M;NA
Caryocolum petryi;3;L;H;NA
Caryocolum provinciella;2;L;H;NA
Caryocolum proxima;2;L;M;NA
Caryocolum pullatella;1;L;H;NA
Caryocolum repentis;1;L;M;NA
Caryocolum saginella;2;S;G;NA
Caryocolum schleichi;4;S;G;NA
Caryocolum siculum;1;S;G;NA
Caryocolum tischeriella;1;L;H;NA
Caryocolum tricolorella;4;L;M;NA
Caryocolum vicinella;12;L;M;NA
Caryocolum viscariella;6;L;H;NA
Caryophylloseptoria lychnidis;4;L;F;NA
Caryophylloseptoria silenes;2;L;F;NA
Caryophylloseptoria spergulae;3;L;F;NA
Casilda consecraria;4;L;V;NA
Cassida algirica;5;L;V;NA
Cassida alpina;7;L;V;NA
Cassida angustifrons;1;L;V;NA
Cassida atrata;3;L;V;NA
Cassida azurea;3;L;V;NA
Cassida bella;1;L;V;NA
Cassida bergeali;2;L;V;NA
Cassida berolinensis;1;L;V;NA
Cassida canaliculata;3;L;V;NA
Cassida corallina;1;L;V;NA
Cassida deflorata;8;L;V;NA
Cassida denticollis;3;L;V;NA
Cassida ferruginea;2;L;V;NA
Cassida flaveola;11;L;V;NA
Cassida hemisphaerica;10;L;V;NA
Cassida hexastigma;1;L;V;NA
Cassida humeralis;1;L;V;NA
Cassida hyalina;1;L;V;NA
Cassida inopinata;1;L;V;NA
Cassida inquinata;6;L;V;NA
Cassida leucanthemi;4;L;V;NA
Cassida lineola;1;L;V;NA
Cassida major;1;L;V;NA
Cassida margaritacea;11;L;V;imago
Cassida murraea;6;L;V;NA
Cassida nebulosa;5;L;V;NA
Cassida nobilis;13;L;V;NA
Cassida palaestina;6;L;V;NA
Cassida pannonica;2;L;V;NA
Cassida panzeri;7;L;V;NA
Cassida prasina;3;L;V;NA
Cassida pusilla;5;L;V;NA
Cassida pyrenaea;2;L;V;NA
Cassida rubiginosa;17;L;V;NA
Cassida rufovirens;4;L;V;NA
Cassida sanguinolenta;2;L;V;NA
Cassida sanguinosa;3;L;V;NA
Cassida seladonia;6;L;V;NA
Cassida seraphina;3;L;V;NA
Cassida stigmatica;3;L;V;NA
Cassida subreticulata;6;L;V;NA
Cassida vibex;16;L;V;NA
Cassida viridis;17;L;V;NA
Cassida vittata;13;L;V;NA
Cataclysme riguata;5;L;V;NA
Cataclysme subtilisparsata;1;L;V;NA
Cataclysta lemnata;2;L;M;NA
Catapion burdigalense;2;R;G;larva
Catapion corsicum;2;U;U;NA
Catapion curtisii;2;C;G;NA
Catapion jaffense;2;U;U;larva
Catapion koestlini;3;S;B;larva
Catapion meieri;1;S;B;larva
Catapion pubescens;8;C;G;NA
Catapion seniculus;11;S;G;NA
Catapion seriatosetosulum;1;S;B;larva
Catapion vulnerariae;1;U;B;larva
Catarhoe cuculata;4;L;V;NA
Catarhoe rubidata;4;L;V;NA
Catastia marginea;2;U;U;NA
Catephia alchymista;1;L;V;NA
Catharia simplonialis;5;L;H;NA
Cathayia insularum;2;X;B;NA
Cathormiocerus discors;3;U;U;NA
Catocala coniuncta;4;L;V;NA
Catocala conversa;3;L;V;NA
Catocala dilecta;4;L;V;NA
Catocala disjuncta;1;L;V;NA
Catocala diversa;1;L;V;NA
Catocala electa;3;L;V;NA
Catocala elocata;4;L;V;NA
Catocala eutychea;1;L;V;NA
Catocala fraxini;3;L;V;NA
Catocala fulminea;5;L;V;NA
Catocala hymenaea;1;L;V;NA
Catocala lesbia;1;L;V;NA
Catocala lupina;2;L;V;NA
Catocala mariana;2;L;V;NA
Catocala nupta;7;L;V;NA
Catocala nymphaea;4;L;V;NA
Catocala nymphagoga;5;L;V;NA
Catocala oberthuri;1;L;V;NA
Catocala optata;2;L;V;NA
Catocala promissa;4;L;V;NA
Catocala puerpera;3;L;V;NA
Catocala separata;1;L;V;NA
Catocala sponsa;7;L;V;NA
Catoplatus carthusianus;2;L;V;NA
Catoplatus crassipes;5;L;V;NA
Catoplatus fabricii;1;L;V;NA
Catoplatus horvathi;3;L;V;NA
Catoplatus nigriceps;6;L;V;NA
Catopsilia florella;1;L;V;NA
Catoptria fulgidella;4;L;H;NA
Catoptria pinella;1;L;V;NA
Catoptria staudingeri;2;L;H;NA
Cauchas albiantennella;2;F;B;L1
Cauchas fibulella;2;F;B;L1
Cauchas rufifrontella;2;F;B;L1
Cauchas rufimitrella;3;F;B;L1
Caudospora taleola;1;S;G;NA
Caulastrocecis furfurella;1;C;G;NA
Caulastrocecis gypsella;1;S;G;NA
Caulophilus oryzae;1;F;B;NA
Caulostrophus subsulcatus;1;L;V;imago
Caulotrupis chevrolatii;1;S;B;NA
Caulotrupis erberi;1;S;B;NA
Cavariella aegopodii;55;L;V;summer
Cavariella aquatica;3;L;V;spring
Cavariella archangelicae;14;L;V;summer
Cavariella cicutae;6;S;V;NA
Cavariella intermedia;7;L;V;NA
Cavariella konoi;9;L;V;summer
Cavariella pastinacae;21;L;V;summer
Cavariella salicicola;7;S;V;summer
Cavariella theobaldi;24;L;V;summer
Cecconia valerianellae;4;F;G;NA
Cecidiphyes cerriquerci;2;L;V;NA
Cecidomyia harrisi;1;NA;I;NA
Cecidomyia magna;1;S;B;NA
Cecidomyia pini;4;S;B;NA
Cecidomyia sarae;1;NA;I;NA
Cecidophyes avaricus;1;L;V;NA
Cecidophyes borealis;3;L;G;NA
Cecidophyes caliquerci;3;L;V;NA
Cecidophyes calvus;3;L;G;NA
Cecidophyes campestris;2;L;V;NA
Cecidophyes galii;21;L;G;NA
Cecidophyes geranii;1;L;V;NA
Cecidophyes glaber;3;Sys;G;NA
Cecidophyes gymnaspis;4;L;G;NA
Cecidophyes lauri;1;L;G;NA
Cecidophyes malifoliae;1;L;V;NA
Cecidophyes monspessulani;1;L;G;NA
Cecidophyes nudus;5;L;G;NA
Cecidophyes potentillae;2;L;G;NA
Cecidophyes psilocranus;1;L;G;NA
Cecidophyes psilonotus;2;L;G;NA
Cecidophyes quercialbae;1;L;V;NA
Cecidophyes quercifagus;1;B;B;NA
Cecidophyes rouhollahi;3;L;G;NA
Cecidophyes sanctiregisladislai;2;L;G;NA
Cecidophyes siculus;1;L;V;NA
Cecidophyes siedleckii;1;L;V;NA
Cecidophyes tristernalis;1;NA;I;NA
Cecidophyes violae;13;L;G;NA
Cecidophyopsis alpina;1;B;G;NA
Cecidophyopsis atrichus;5;L;G;NA
Cecidophyopsis aurea;1;B;G;NA
Cecidophyopsis betulae;2;L;G;NA
Cecidophyopsis grossulariae;3;L;V;NA
Cecidophyopsis hendersoni;3;L;V;NA
Cecidophyopsis malpighianus;2;X;G;NA
Cecidophyopsis pseudoplatani;1;L;V;NA
Cecidophyopsis psilaspis;1;B;G;NA
Cecidophyopsis ribis;1;B;G;NA
Cecidophyopsis ruebsaameni;1;L;G;NA
Cecidophyopsis selachodon;1;B;G;NA
Cecidophyopsis verilicis;1;F;V;NA
Cecidophyopsis vermiformis;3;NA;I;NA
Cecidostiba docimus;1;NA;I;NA
Cedestis gysseleniella;5;L;M;NA
Cedestis subfasciella;6;L;M;NA
Celaena haworthii;6;S;B;NA
Celastrina argiolus;67;L;V;NA
Celticecis caucasicae;1;L;G;NA
Celypha capreolana;1;R;B;NA
Celypha cespitana;10;L;H;NA
Celypha lacunana;36;L;H;NA
Celypha rivulana;15;L;H;NA
Celypha rosaceana;3;R;B;NA
Celypha rufana;5;R;V;L1
Celypha rurestrana;4;R;B;NA
Celypha siderana;3;L;H;NA
Celypha striana;2;R;B;NA
Celypha tiedemanniana;1;S;B;NA
Celypha woodiana;1;L;M;NA
Cenopalpus adventicius;1;L;V;NA
Cenopalpus arbuti;2;L;V;NA
Cenopalpus bakeri;1;L;V;NA
Cenopalpus carpini;2;L;V;NA
Cenopalpus creticus;1;L;V;NA
Cenopalpus cumanicus;2;L;V;NA
Cenopalpus eriobotryi;2;L;V;NA
Cenopalpus lanceolatisetae;15;Sys;V;NA
Cenopalpus lineola;7;L;V;NA
Cenopalpus longirostris;2;L;V;NA
Cenopalpus mespili;5;L;V;NA
Cenopalpus officinalis;2;L;V;NA
Cenopalpus pennatisetus;1;L;V;NA
Cenopalpus pistaciae;1;L;V;NA
Cenopalpus platani;1;L;V;NA
Cenopalpus populi;1;L;V;NA
Cenopalpus pritchardi;3;L;V;NA
Cenopalpus pseudospinosus;1;L;V;NA
Cenopalpus pulcher;37;L;V;NA
Cenopalpus ruber;2;L;V;NA
Cenopalpus scoopsetus;1;L;V;NA
Cenopalpus spinosus;9;L;G;NA
Cenopalpus wainsteini;6;L;V;NA
Centorisoma elegantulum;1;S;B;NA
Centricnemus leucogrammus;16;R;V;NA
Centrocoris spiniger;2;L;V;NA
Centrocoris variegatus;4;L;V;NA
Centrotus chloroticus;1;L;V;NA
Centrotus cornutus;11;L;V;imago
Cephalaromyia capituli;2;X;G;NA
Cephalcia abietis;4;L;H;NA
Cephalcia alashanica;3;L;H;NA
Cephalcia alpina;5;L;H;NA
Cephalcia annulicornis;2;L;H;NA
Cephalcia arvensis;5;L;H;NA
Cephalcia erythrogaster;4;L;H;NA
Cephalcia fulva;3;L;H;NA
Cephalcia hartigii;2;L;H;NA
Cephalcia lariciphila;4;L;H;NA
Cephalcia masuttii;3;L;H;NA
Cephalcia pallidula;2;L;H;NA
Cephalothrips coxalis;3;L;V;NA
Cephalothrips monilicornis;21;L;V;NA
Cephus fumipennis;1;L;V;NA
Cephus infuscatus;1;S;B;NA
Cephus nigrinus;3;S;B;NA
Cephus pygmeus;7;S;B;NA
Cephus spinipes;2;S;B;NA
Cepphis advenaria;7;L;V;NA
Ceraleptus gracilicornis;13;L;V;NA
Ceraleptus lividus;17;L;V;NA
Ceraleptus obtusus;5;L;V;NA
Cerambyx carinatus;3;S;B;NA
Cerambyx cerdo;29;S;B;NA
Cerambyx dux;4;S;B;NA
Cerambyx miles;18;S;B;NA
Cerambyx nodulosus;6;S;B;NA
Cerambyx scopolii;35;S;B;NA
Cerambyx welensii;16;S;B;NA
Ceramica pisi;23;L;V;NA
Cerapteryx graminis;6;C;V;NA
Cerastis leucographa;2;L;V;NA
Cerastis rubricosa;18;L;V;NA
Ceratapion armatum;6;U;B;larva
Ceratapion austriacum;1;L;M;larva
Ceratapion basicorne;17;C;B;larva
Ceratapion beckeri;1;U;U;NA
Ceratapion calcaratum;2;U;B;larva
Ceratapion carduorum;12;S;B;larva
Ceratapion cylindricolle;2;U;U;NA
Ceratapion dalmatinum;1;U;U;NA
Ceratapion damryi;2;L;B;NA
Ceratapion decolor;1;R;B;larva
Ceratapion gibbirostre;20;C;B;larva
Ceratapion longiclava;1;U;B;larva
Ceratapion onopordi;26;C;B;NA
Ceratapion orientale;4;C;B;larva
Ceratapion penetrans;15;C;B;NA
Ceratapion perlongum;2;U;U;NA
Ceratapion scalptum;15;S;B;larva
Ceratapion transsylvanicum;1;U;U;NA
Ceratitis capitata;10;F;B;NA
Ceratocystis fimbriata;2;S;CA;NA
Ceratocystis paradoxa;3;L;F;NA
Ceratorhiza cerealis;9;S;film;NA
Ceratorhiza rhizodes;41;L;P;NA
Ceratostoma juniperinum;3;S;P;NA
Ceratostoma spurium;1;S;CA;NA
Ceratothrips ericae;11;X;H;NA
Cercopis intermedia;9;L;V;imago
Cercopis sanguinolenta;12;L;V;imago
Cercopis vulnerata;9;L;V;imago
Cercospora acanthi;1;L;F;NA
Cercospora achilleae;2;L;F;NA
Cercospora adusta;1;L;F;NA
Cercospora althaeina;2;L;F;NA
Cercospora amaryllidis;1;L;F;NA
Cercospora angulata;1;L;F;NA
Cercospora apii;9;L;F;NA
Cercospora apiicola;1;L;F;NA
Cercospora aragonensis;1;L;F;NA
Cercospora ari;1;L;F;NA
Cercospora ariminensis;1;L;F;NA
Cercospora armoraciae;7;L;F;NA
Cercospora asparagi;1;S;F;NA
Cercospora asplenii;1;L;F;NA
Cercospora astragali;1;L;F;NA
Cercospora barbareae;1;L;F;NA
Cercospora begoniae;1;L;F;NA
Cercospora berteroae;1;L;F;NA
Cercospora beticola;5;L;F;NA
Cercospora bicolor;1;L;F;NA
Cercospora bidentis;1;L;F;NA
Cercospora bizzozeriana;2;L;F;NA
Cercospora brachiata;1;L;F;NA
Cercospora calendulae;1;L;F;NA
Cercospora callae;1;L;F;NA
Cercospora capparidis;1;L;F;NA
Cercospora cardamines;1;L;F;NA
Cercospora caricis;4;L;F;NA
Cercospora carthami;1;L;F;NA
Cercospora cassiocarpa;1;L;F;NA
Cercospora centaureae;1;L;F;NA
Cercospora cephalantherae;1;L;F;NA
Cercospora cheiranthi;1;L;F;NA
Cercospora chenopodii;10;L;F;NA
Cercospora chondrillae;1;L;F;NA
Cercospora cichorii;1;L;F;NA
Cercospora cistinearum;1;L;F;NA
Cercospora coryli;1;L;F;NA
Cercospora crepidis;1;L;F;NA
Cercospora cyperi-fusci;1;L;F;NA
Cercospora davisii;1;L;F;NA
Cercospora decolor;1;L;F;NA
Cercospora depazeoides;2;L;F;NA
Cercospora echii;4;L;F;NA
Cercospora elaterii;1;L;F;NA
Cercospora elongata;2;L;F;NA
Cercospora epipactidis;4;L;F;NA
Cercospora erysimi;1;L;F;NA
Cercospora euphorbiae-pubescentis;1;S;F;NA
Cercospora euphrasiae;1;L;F;NA
Cercospora fagopyri;1;L;F;NA
Cercospora ficariae;1;L;F;NA
Cercospora fragariae;1;L;F;NA
Cercospora galegae;1;L;F;NA
Cercospora glycyrrhizae-echinatae;1;L;F;NA
Cercospora grandissima;1;L;F;NA
Cercospora helianthicola;1;L;F;NA
Cercospora heliotropii-bocconii;1;L;F;NA
Cercospora hippocrepidis;1;L;F;NA
Cercospora imperatoriae;1;L;F;NA
Cercospora innumerabilis;1;L;F;NA
Cercospora insulana;2;L;F;NA
Cercospora ipomoeae;1;L;F;NA
Cercospora isopyri;1;L;F;NA
Cercospora juncina;5;L;F;NA
Cercospora kabatiana;1;L;F;NA
Cercospora kikuchii;1;L;F;NA
Cercospora lactucae-sativae;1;L;F;NA
Cercospora lathyri;1;L;F;NA
Cercospora lathyrina;1;L;F;NA
Cercospora ligustri;1;L;F;NA
Cercospora loti;2;L;F;NA
Cercospora lycii;1;L;F;NA
Cercospora maianthemi;1;L;F;NA
Cercospora malvarum;3;L;F;NA
Cercospora marrubii;1;L;F;NA
Cercospora medicaginis;2;L;F;NA
Cercospora mercurialis;2;L;F;NA
Cercospora mirabilis;1;L;F;NA
Cercospora montenegrina;1;L;F;NA
Cercospora montiae;1;L;F;NA
Cercospora moravica;1;L;F;NA
Cercospora moricola;1;L;F;NA
Cercospora nasturtii;4;L;F;NA
Cercospora nebulosa;1;L;F;NA
Cercospora nigellae;1;L;F;NA
Cercospora ocellata;1;L;F;NA
Cercospora olivascens;2;L;F;NA
Cercospora onobrychidis;1;L;F;NA
Cercospora palustris;1;L;F;NA
Cercospora pantoleuca;6;L;F;NA
Cercospora paridis;1;L;F;NA
Cercospora penzigii;3;L;NA;NA
Cercospora physalidis;4;L;F;NA
Cercospora physospermi;1;L;F;NA
Cercospora plantaginis;1;L;F;NA
Cercospora plumbaginea;1;L;F;NA
Cercospora psoraleae-bituminosae;1;L;F;NA
Cercospora punctiformis;1;L;F;NA
Cercospora radiata;2;L;F;NA
Cercospora rautensis;1;L;F;NA
Cercospora resedae;2;L;F;NA
Cercospora rhagadioli;1;L;F;NA
Cercospora ribis;1;L;F;NA
Cercospora richardiicola;1;L;F;NA
Cercospora ricinella;1;L;F;NA
Cercospora sagittariae;1;L;F;NA
Cercospora salviicola;1;L;F;NA
Cercospora sancti-marini;1;L;F;NA
Cercospora scandens;1;L;F;NA
Cercospora scorodoniae;1;L;F;NA
Cercospora scorzonerae;1;L;F;NA
Cercospora scrophulariae;1;L;F;NA
Cercospora selaginellarum;3;L;F;NA
Cercospora senecionis;1;L;F;NA
Cercospora setariae;1;L;F;NA
Cercospora solani;1;L;F;NA
Cercospora sorghi;1;L;F;NA
Cercospora statices;1;L;F;NA
Cercospora tau-saghysiana;1;L;F;NA
Cercospora taurica;1;L;F;NA
Cercospora tetragoniae;1;L;F;NA
Cercospora tragopogonis;1;L;F;NA
Cercospora traversoana;2;L;F;NA
Cercospora tripolitana;1;L;F;NA
Cercospora verbascicola;1;L;F;NA
Cercospora viburnicola;1;L;F;NA
Cercospora violae;8;L;F;NA
Cercospora zebrina;7;L;F;NA
Cercospora zinniae;1;L;F;NA
Cercospora zonata;1;L;F;NA
Cercospora zygophylli;1;L;F;NA
Cercosporella coronillae;1;L;F;NA
Cercosporella echinulata;1;L;F;NA
Cercosporella equiseti;1;L;F;NA
Cercosporella euonymi;1;L;F;NA
Cercosporella leuzeae;1;L;F;NA
Cercosporella lindaviana;2;L;F;NA
Cercosporella lini;1;L;F;NA
Cercosporella myosotidis;1;L;F;NA
Cercosporella oxalidis;1;L;F;NA
Cercosporella podospermi;1;L;F;NA
Cercosporella primulae;3;L;F;NA
Cercosporella ptarmicae;1;L;F;NA
Cercosporella sennenii;1;L;F;NA
Cercosporella virgaureae;6;L;F;NA
Cerocala sana;1;L;V;NA
Cerocala scapulosa;1;L;V;NA
Cerodontha alpina;2;L;M;NA
Cerodontha angulata;18;L;M;NA
Cerodontha atra;2;L;M;NA
Cerodontha atronitens;1;L;M;NA
Cerodontha beigerae;4;L;M;NA
Cerodontha bimaculata;4;L;M;NA
Cerodontha bistrigata;1;L;M;NA
Cerodontha calamagrostidis;5;L;M;NA
Cerodontha calosoma;1;L;M;NA
Cerodontha capitata;1;S;B;NA
Cerodontha caricicola;12;L;M;NA
Cerodontha caricivora;2;L;M;NA
Cerodontha carpatica;1;L;M;NA
Cerodontha chaixiana;2;L;M;NA
Cerodontha crassiseta;2;L;M;NA
Cerodontha denticornis;21;L;M;NA
Cerodontha elbergi;1;L;M;NA
Cerodontha eriophori;1;L;M;NA
Cerodontha eucaricis;9;L;M;NA
Cerodontha fasciata;1;L;M;NA
Cerodontha flavocingulata;12;L;M;NA
Cerodontha fulvipes;1;L;M;NA
Cerodontha geniculata;2;L;M;NA
Cerodontha gibbifera;1;L;M;NA
Cerodontha hammi;2;L;M;NA
Cerodontha handlirschi;1;L;M;NA
Cerodontha hennigi;1;L;M;NA
Cerodontha hirtae;1;L;M;NA
Cerodontha hreblensis;1;L;M;NA
Cerodontha imbuta;2;L;M;NA
Cerodontha incisa;52;L;M;NA
Cerodontha iraeos;3;L;M;NA
Cerodontha iridis;3;L;M;NA
Cerodontha lateralis;8;L;M;NA
Cerodontha lindrothi;4;L;M;NA
Cerodontha luctuosa;5;L;M;NA
Cerodontha luzulae;1;L;M;NA
Cerodontha melicae;8;L;M;NA
Cerodontha mellita;1;L;M;NA
Cerodontha morosa;15;L;M;NA
Cerodontha muscina;15;L;M;NA
Cerodontha phalaridis;1;L;M;NA
Cerodontha phragmitidis;1;L;M;NA
Cerodontha phragmitophila;2;L;M;NA
Cerodontha pseuderrans;1;L;M;NA
Cerodontha pygmaea;37;L;M;NA
Cerodontha pygmella;5;L;M;NA
Cerodontha rohdendorfi;2;L;M;NA
Cerodontha rozkosnyi;1;U;U;NA
Cerodontha scirpi;2;L;M;NA
Cerodontha scutellaris;1;L;M;NA
Cerodontha silvatica;1;L;M;NA
Cerodontha spencerae;1;L;M;NA
Cerodontha spinata;2;L;M;NA
Cerodontha staryi;3;L;M;NA
Cerodontha superciliosa;15;L;M;NA
Cerodontha suturalis;3;L;M;NA
Cerodontha unisetiorbita;5;L;M;NA
Cerodontha venturii;1;S;M;NA
Cerodontha vigneae;4;L;M;NA
Cerodontha zoerneri;4;L;M;NA
Cerodontha zuskai;1;L;M;NA
Ceroplastes ceriferus;13;S;SC;NA
Ceroplastes cirripediformis;1;NA;SC;NA
Ceroplastes floridensis;26;L;SC;NA
Ceroplastes japonicus;31;S;SC;NA
Ceroplastes rusci;57;S;SC;NA
Ceroplastes sinensis;14;S;SC;NA
Ceroptres cerri;3;NA;I;NA
Ceroptres clavicornis;1;NA;I;NA
Ceroputo pilosellae;17;L;SC;NA
Cerotelium fici;2;L;P;23
Cerroneuroterus aggregatus;1;B;G;NA
Cerroneuroterus apenninus;1;L;G;NA
Cerroneuroterus lanuginosus;11;L;G;FF
Cerroneuroterus minutulus;5;L;G;NA
Cerroneuroterus obtectus;2;B;G;NA
Certallum ebulinum;5;C;B;NA
Cerura erminea;4;L;V;NA
Cerura iberica;2;L;V;NA
Cerura vinula;11;L;V;NA
Ceruraphis eriophori;8;L;V;summer
Cetema cereris;7;S;B;NA
Cetema elongatum;14;S;B;NA
Cetema myopinum;1;S;B;NA
Cetema neglectum;5;S;B;NA
Ceutholopha isidis;4;L;V;NA
Ceutorhynchus  pervicax;5;S;B;larva
Ceutorhynchus aeneicollis;4;S;B;larva
Ceutorhynchus alliariae;1;S;B;larva
